Date,Open,High,Low,Close
07/10/1991,375.74,380.35,375.2,375.74
07/11/1991,376.97,377.68,375.51,376.97
07/12/1991,380.25,381.41,375.79,380.25
07/15/1991,382.39,383.0,380.24,382.39
07/16/1991,381.54,382.94,380.8,381.54
07/17/1991,381.18,382.86,381.13,381.18
07/18/1991,385.37,385.37,381.18,385.37
07/19/1991,384.22,385.83,383.65,384.22
07/22/1991,382.88,384.55,381.84,382.88
07/23/1991,379.42,384.86,379.39,379.42
07/24/1991,378.64,380.46,378.29,378.64
07/25/1991,380.96,381.13,378.15,380.96
07/26/1991,380.93,381.76,379.81,380.93
07/29/1991,383.15,383.15,380.45,383.15
07/30/1991,386.69,386.92,383.15,386.69
07/31/1991,387.81,387.81,386.19,387.81
08/01/1991,387.12,387.95,386.48,387.12
08/02/1991,387.18,389.56,386.05,387.18
08/05/1991,385.06,387.18,384.48,385.06
08/06/1991,390.62,390.8,384.29,390.62
08/07/1991,390.56,391.59,389.86,390.56
08/08/1991,389.32,391.8,388.15,389.32
08/09/1991,387.12,389.89,387.04,387.12
08/12/1991,388.02,388.17,385.9,388.02
08/13/1991,389.62,392.12,388.02,389.62
08/14/1991,389.9,391.85,389.13,389.9
08/15/1991,389.33,391.92,389.29,389.33
08/16/1991,385.58,390.41,382.59,385.58
08/19/1991,376.47,385.58,374.09,376.47
08/20/1991,379.43,380.35,376.47,379.43
08/21/1991,390.59,390.59,379.43,390.59
08/22/1991,391.33,391.98,390.21,391.33
08/23/1991,394.17,395.34,390.69,394.17
08/26/1991,393.85,394.39,392.75,393.85
08/27/1991,393.06,393.87,391.77,393.06
08/28/1991,396.64,396.64,393.03,396.64
08/29/1991,396.47,396.82,395.14,396.47
08/30/1991,395.43,396.47,393.6,395.43
09/03/1991,392.15,397.62,392.1,392.15
09/04/1991,389.97,392.62,388.68,389.97
09/05/1991,389.14,390.97,388.49,389.14
09/06/1991,389.1,390.71,387.36,389.1
09/09/1991,388.57,389.34,387.88,388.57
09/10/1991,384.56,388.63,383.78,384.56
09/11/1991,385.09,385.6,383.59,385.09
09/12/1991,387.34,387.34,385.09,387.34
09/13/1991,383.59,387.95,382.85,383.59
09/16/1991,385.78,385.79,382.77,385.78
09/17/1991,385.5,387.13,384.97,385.5
09/18/1991,386.94,386.94,384.28,386.94
09/19/1991,387.56,389.42,386.27,387.56
09/20/1991,387.92,388.82,386.49,387.92
09/23/1991,385.92,388.55,385.76,385.92
09/24/1991,387.71,388.13,384.46,387.71
09/25/1991,386.88,388.25,385.99,386.88
09/26/1991,386.49,388.39,385.3,386.49
09/27/1991,385.9,389.09,384.87,385.9
09/30/1991,387.86,388.29,384.32,387.86
10/01/1991,389.2,389.56,387.86,389.2
10/02/1991,388.26,390.03,387.62,388.26
10/03/1991,384.47,388.26,384.47,384.47
10/04/1991,381.24,385.19,381.24,381.24
10/07/1991,379.5,381.27,379.07,379.5
10/08/1991,380.67,381.23,379.18,380.67
10/09/1991,376.8,380.67,376.35,376.8
10/10/1991,380.55,380.55,376.11,380.55
10/11/1991,381.45,381.46,379.9,381.45
10/14/1991,386.47,386.47,381.45,386.47
10/15/1991,391.01,391.5,385.95,391.01
10/16/1991,392.8,393.29,390.14,392.8
10/17/1991,391.92,393.81,390.32,391.92
10/18/1991,392.5,392.8,391.77,392.5
10/21/1991,390.02,392.5,388.96,390.02
10/22/1991,387.83,391.2,387.4,387.83
10/23/1991,387.94,389.08,386.52,387.94
10/24/1991,385.07,388.32,383.45,385.07
10/25/1991,384.2,386.13,382.97,384.2
10/28/1991,389.52,389.52,384.2,389.52
10/29/1991,391.48,391.7,386.88,391.48
10/30/1991,392.96,393.11,390.78,392.96
10/31/1991,392.46,392.96,391.58,392.46
11/01/1991,391.32,395.1,389.67,391.32
11/04/1991,390.28,391.32,388.09,390.28
11/05/1991,388.71,392.17,388.19,388.71
11/06/1991,389.97,389.97,387.58,389.97
11/07/1991,393.72,393.72,389.97,393.72
11/08/1991,392.89,396.43,392.42,392.89
11/11/1991,393.12,393.57,392.32,393.12
11/12/1991,396.74,397.13,393.12,396.74
11/13/1991,397.41,397.42,394.01,397.41
11/14/1991,397.15,398.22,395.85,397.15
11/15/1991,382.62,397.16,382.62,382.62
11/18/1991,385.24,385.4,379.69,385.24
11/19/1991,379.42,385.24,374.9,379.42
11/20/1991,378.53,381.51,377.84,378.53
11/21/1991,380.06,381.12,377.41,380.06
11/22/1991,376.14,380.06,374.52,376.14
11/25/1991,375.34,377.07,373.96,375.34
11/26/1991,377.96,378.29,371.63,377.96
11/27/1991,376.55,378.11,375.98,376.55
11/29/1991,375.22,376.55,374.65,375.22
12/02/1991,381.4,381.4,371.36,381.4
12/03/1991,380.96,381.48,379.92,380.96
12/04/1991,380.07,381.51,378.07,380.07
12/05/1991,377.4,380.07,376.58,377.4
12/06/1991,379.09,382.39,375.41,379.09
12/09/1991,378.26,381.42,377.67,378.26
12/10/1991,377.9,379.57,376.64,377.9
12/11/1991,377.7,379.42,374.78,377.7
12/12/1991,381.55,381.62,377.7,381.55
12/13/1991,384.47,385.04,381.55,384.47
12/16/1991,384.46,385.84,384.37,384.46
12/17/1991,382.74,385.05,382.6,382.74
12/18/1991,383.48,383.51,380.88,383.48
12/19/1991,382.52,383.48,380.64,382.52
12/20/1991,387.04,388.24,382.52,387.04
12/23/1991,396.82,397.44,386.96,396.82
12/24/1991,399.33,401.79,396.82,399.33
12/26/1991,404.84,404.92,399.31,404.84
12/27/1991,406.46,406.58,404.59,406.46
12/30/1991,415.14,415.14,406.46,415.14
12/31/1991,417.09,418.32,412.73,417.09
01/02/1992,417.26,417.27,411.04,417.26
01/03/1992,419.34,419.79,416.16,419.34
